,BioScience Trends,言語文化教育研究,国際生命情報科学会誌,ジオシンセティックス論文集,文化人類学,文化人類学,日本農村医学会雑誌,薬剤学,薬剤学,薬剤学,薬剤学,薬剤学,薬剤学,薬剤学,薬剤学,Drug Discoveries & Therapeutics,計量生物学,産業動物臨床医学雑誌,日本複合材料学会誌,Journal of Veterinary Medical Science,フォーラム現代社会学,環境経済・政策研究,地域学研究,日本シミュレーション学会論文誌,e-Learning教育研究,Analytical Sciences,Circulation Reports,IEICE Electronics Express,森林総合研究所研究報告,日本消化器内視鏡学会雑誌
0,Driving factors and mode transformation regarding health technology assessment (HTA) in China: Problems and recommendations,ナラティブの可能性,Contents,ジオセルと排水パイプを併用した斜面安定工における降雨と融雪による排水挙動,表紙,表紙,第67回日本農村医学会学術集会を終えて,押し出し造粒工程の標準化を目的とした練合操作のモニタリングとスケールアップ,Application of Pharmaceutical Principles to Clinical Practices,Effect of Maleylated Bovine Serum Albumin on the Disposition of Fractionated Heparin in Rats,医薬分野におけるショ糖脂肪酸エステルの滑沢剤としての適用とその評価,難溶性薬物を含有する湿式法による口腔内速崩壊錠―調製と崩壊機構の解明,STP Pharma Sciencesに投稿してみませんか,Good Mental Practice,病院薬剤部での研究活動：薬系大学・薬学部との連携強化に向けて,Antifungal activity of polymeric micelles of silver nanoparticles prepared from Psidium guajava aqueous extract,A New Association Analysis Method for Gut Microbial Compositional Data Using Ensemble Learning,大規模酪農場，中小規模酪農場および肉牛飼養農場において呼吸器症状を呈する子牛の鼻腔スワブから分離された Pasteurella multocida，Mannheimia haemolytica および Mycoplasma 属の抗菌剤に対する薬剤感受性,端面衝撃損傷が及ぼすCFRP積層板圧縮強度への影響,Activin E enhances insulin sensitivity and thermogenesis by activating brown/beige adipocytes,巻頭言,環境規制が汚染集約産業の立地決定に及ぼす影響,地方自治体における低炭素型エネルギーシステム計画モデルの開発,折紙構造による折り畳みヘルメット適用に関する検討,表紙,Raman and Infrared Research on Biological Tissues and Cells,Aortic Strain Correlates With Elastin Fragmentation in Fibrillin-1 Hypomorphic Mice,A control scheme research based on sliding mode and proportional-integral control for three-phase rectifier,木材およびセルロースの圧電現象,未来につなぐ消化器内視鏡学
1,Chinese herbal medicine for acute upper respiratory tract infections and reproductive safety: A systematic review,ナラティブの意義と可能性,目次,最初に傾斜したジオグリッド補強土壁の耐震性評価,編集委員（83巻2号-85巻1号担当）,編集委員（83巻2号-85巻1号担当）,第67回日本農村医学会学術総会の記録,固体状態におけるデキストラン誘導体の粘膜付着性の評価,密封加熱による直鎖アミロースへの安息香酸類の包接化挙動,Rapidly Disintegrating Tablets Prepared by a Surface-Modifying Method—Comparison of Disintegrants—,Leaching Mechanisms of Di-(2-Ethylhexyl) Phthalate from Polyvinyl-Chloride Tube during the Administration of Enteral Nutrition,"1,4-ジヒドロピリジン系カルシウム拮抗薬と乳糖の相互作用",大学薬学部新設に思う,大学薬学部新設に思う,大学薬学部新設に思うこと,Silver nanoparticles fabricated by reducing property of cellulose derivatives,マスタープロトコルに基づくがん臨床試験,臨床現場で実施した超音波検査により肋骨骨折と診断したホルスタイン種子牛の1 例,複合材プライドロップオフ部の強度評価手法に関する検討,"Innervation of wing membrane in Japanese little horseshoe bats, Rhinolophus cornutus",政治的デモンストレーションの展開とその環境,ドイツにおける原子力政策転換と重層的ガバナンス,国際航空路線の就航による受益地域の特定,,"Studies in e-Learning Language Education, Volume 13",Ten Years of Fentanyl-like Drugs: a Technical-analytical Review,Efficacy of Complex Fractionated Atrial Electrogram-Guided Extensive Encircling Pulmonary Vein Isolation for Persistent Atrial Fibrillation,Design of compact active BeiDou antenna for high-shock projectile applications,スギ内装材を施工した実験室での揮発性有機化合物濃度の経時変化,内視鏡とともに過ごした35年
2,IPS-1 polymorphisms in regulating interferon response in HBV infection,なぜ物語は実践研究にとって重要なのか,ピラミッド型構造物と人間の無意識との関連による未知なる遠隔作用の発見,繊維材で補強された流動化処理土の三軸圧縮特性に及ぼす泥水密度の影響,中表紙、表紙写真,中表紙、表紙写真,第67回日本農村医学会学術総会印象記,ラット小腸刷子縁膜内へのβ－ラクタム剤の二次性能動輸送に及ぼす緩衝剤濃度およびその組成の影響,圧力スイング造粒法による粉末吸入剤用顆粒の造粒の可能性ならびに薬物粒子送達性,溶出試験液中のポリソルベート80が製剤の溶出性に及ぼす影響,酸処理ビール酵母細胞壁の新規結合剤への応用,Enhancing Effect of Switching Iontophoresis on Transdermal Absorption of Sodium Benzoate In Vivo,薬学部・薬科大学新設ラッシュに思う,薬系大学生の適正数と薬学部教育の評価について,大学薬学部新設に思う―医療現場からは臨床薬剤師教育を―,Paraoxonase 1 gene (Q192R) polymorphism confers susceptibility to coronary artery disease in type 2 diabetes patients: Evidence from case-control studies,がん臨床試験におけるベイズ流バスケットデザインの理論と実装,,データ同化を利用した複合材料成形中の状態推定に関する実験的研究,Symmetric undivided diplopagus with cardiac malformation in a Japanese wild boar (Sus scrofa leucomystax),過去の職業経歴が高齢期のボランティア参加に与える影響,日本の固定価格買取制度における回避可能費用の計算に関する問題点,市街地での家庭犬の飼育に関わる近隣トラブルを回避するための課題に関する基礎的研究,,目次,Sensitive and Selective Detection of Mercury Ions in Aqueous Media Using an Oligonucleotide-functionalized Nanosensor and SERS Chip,"Full Moon and Out-of-Hospital Cardiac Arrest in Japan　― Population-Based, Double-Controlled Case Series Analysis ―",Coagulated region analysis in a microwave surgical device with temperature-dependent physical properties of tissue,十勝岳の安政噴火による泥流上に発達した林分の長期動態,Computer-assisted minimally invasive endoscopic surgery: Towards augmented surgery
3,A Clinical scoring model to predict mortality in HIV/TB co-infected patients at end stage of AIDS in China: An observational cohort study,ヒューマンライブラリーの可能性,ノルウェーのキュウリのbio-PK反応性試験,ジオグリッドの目合形状と敷設位置が路盤の拘束に及ぼす影響,目次,目次,ゲノム医学研究の臨床応用の現状と今後の展望,水晶発振子を用いた薬物のin vitro皮膚透過迅速測定法に関する検討,,Quantitative Investigation of the Effect of Sensory Nerve Anesthesia with 9% Lidocaine Ointment on Healthy Subjects by Use of the Neuroselective Current Perception Threshold,花粉症治療を目的としたflunisolide含有持続性鼻腔用軟膏の開発,関節炎症治療を目的としたキトサンコーティングPLGAナノスフェアの研究：キトサンコーティングによるリウマチ患者由来・培養滑膜線維芽細胞への結合促進効果,臨床試験と薬学・薬剤師,治験と薬剤師,治験と薬剤師,A study on factors determining dose of topical lignocaine during broncho-alveolar lavage by spray-as-you-go technique: A single centre observational study,,,,Pathologic characterization of Felis catus papillomavirus type 5 (FcaPV-5)-associated viral plaques and Bowenoid in situ carcinoma in a Domestic Shorthair cat,「差別」に挑む子ども、「同化」を問題にする教師,森林の生態系サービスの価値に対する主観評価と推論評価の比較,中国山東省小麦主産地における農家の労働配分・所得構成と食糧直接補助金に対する農家の評価,,CONTENTS,"Room-temperature Chelate Vapor Generation of Lead Using Ammonium O,O-Diethyl Dithiophosphate as a Chelating Reagent and Determination by Atomic Fluorescence Spectrometry in Environmental Water Samples",12-Week Effectiveness and Safety of Low-Density Lipoprotein Cholesterol-Lowering Therapy by Proprotein Convertase Subtilisin/Kexin Type 9 Inhibition in Patients With Familial Hypercholesterolemia and Hypercholesterolemia　― Data From a Real-World Observational Study of Evolocumab in Japan ―,Linearization of power amplifiers with mismatched output impedance using on-line digital pre-distortion structure,テリハボクの花粉の簡易な貯蔵方法,大腸がんの診断 -pit pattern診断からAI診断まで-
4,Methanol extract of Lonicera caerulea var. emphyllocalyx fruit has antibacterial and anti-biofilm activity against Streptococcus pyogenes in vitro ,分断の時代におけるナラティヴとストーリーテリング教育,,補強効果に及ぼす礫質土の力学特性の影響,Contents,Contents,健康の社会的決定要因と農村医学,,,粉末セルロースの医薬品賦形剤としての評価,高速排除クロマトグラフィーによるFITC標識ポリビニルアルコールの体内動態測定,薬物の経毛嚢送達：ヒト頭皮薬物吸収の特性と利点,治験と病院薬剤師,治験と薬剤師,治験と薬剤師,Infectious versus non-infectious causes of oligoarticular inflammatory arthritis: A prospective study from a tertiary care hospital in north India,,,,Ludwigia octovalvis (Jacq.) raven extract supplementation enhances muscle glycogen content and endurance exercise performance in mice,専門職化する日本の自営業,東京オリンピック・パラリンピックと環境問題,産業工場やごみ焼却場と連携した下水汚泥燃料利用等における将来社会変化や汚泥処理の集約化がGHG削減に及ぼす効果,,語彙学習を動機づける語彙力診断テスト開発のための基礎研究,Polystyrene-coated Interdigitated Microelectrode Array to Detect Free Chlorine towards IoT Applications,Pulmonary Endarterectomy and Balloon Pulmonary Angioplasty for Chronic Thromboembolic Pulmonary Hypertension　― Similar Effects on Health-Related Quality of Life ―,,森林総合研究所十日町試験地の気象100年報 （1918年～2017年）,"Robotic endoscopy, current status and future"
5,Sperm DNA fragmentation valued by SCSA and its correlation with conventional sperm parameters in male partner of recurrent spontaneous abortion couple,日本語教育・教師教育において「語ること」の意味と意義,,河川堤防に敷設する透気防水シートの越流時の防水性能,放牧地争いにおける伝統的権威,身体をつなぐ会話,腎臓保存療法43年ようやく明るさが見えてきた,,,新規抗PAF剤E5880注射剤の開発,An In Vitro Interaction between TRX-Liposomes and the Components of Blood,,時限放出型製剤を用いた薬物相互作用の回避研究,細胞質内デリバリーによる新規薬物治療戦略,日本薬剤学会功績賞を受賞して,Clinical spectrum and outcome of critically ill hospitalized patients with acute febrile illness and new-onset organ dysfunction presenting during monsoon season,,,,Abdominal hernias in camel (Camelus dromedaries): Clinical findings and treatment outcomes,男女平等理念が異性愛主義と結びつく危険性,2020年東京オリンピック・パラリンピックにおける調達コードと環境認証,津波による経済被害と地域経済の回復力: 愛知県54市町村を対象として,,Behavioral and Attitudinal Differences between Overachievers and Underachievers on a Web-based Task,A Method for the Quantitative Analysis of a Key Component in Complex Mixtures Using Raman Spectroscopy Based on Peak Decomposition,"Prevalence, Clinical Profile, and In-Hospital Outcomes of Sleep-Disordered Breathing in Patients Undergoing Transcatheter Aortic Valve Implantation in Japan",,八ヶ岳の山梨県有林に設置したヤツガタケトウヒ試験区におけるシカ被害を受けた林相の12年間の変化,"History of ERCP, current status and future"
6,Daucosterol induces autophagic-dependent apoptosis in prostate cancer via JNK activation,歴史の証人の語りにおける共感をよぶ力について,,地震・洪水複合災害に対するLDR堤防の耐災害性に関する実験的検討,呪術とは何か,幼子イエス像をあやす,超高齢化社会に対応するための医療介護Big Dataの活用,,,,局所投与を目的としたPLGA微粒子キャリアーの細胞毒性と貪食作用に及ぼす粒子径の影響および薬理効果に関する研究,,ニュース・学会だより,シクロデキストリンの更なる可能性を求めて,製剤の粒子設計概念の提唱と実践・工学化,Impact of non-selective beta blockers on portal hypertension and hepatic elasticity in hepatitis C virus-related liver cirrhosis,,,,Evaluating the effects of continuous intravenous infusions of tramadol and tramadol-lidocaine on sevoflurane minimum alveolar concentration (MAC) and entropy values in dogs,『時事漫画』にみる「サラリーマン」の誕生,東京2020大会と持続可能な調達,地方に理系人材を残し呼び戻すための一考察,,テレコラボレーションにおける対話環境の構築,Microdetermination of Sialic Acids in Blood Samples by Hydrophilic Interaction Chromatography Coupled to Post-column Derivatization and Fluorometric Detection,Distribution of Paclitaxel Particles on the Vascular Wall After Drug-Coated Balloon Treatment　― Electronic High-Resolution Angioscopy Assessment ―,,竜ノ口山森林理水試験地観測報告（2006年1月～ 2010年12月）,"History of EUS, current status and future"
7,Predictive value of some pro-oxidants in type 2 diabetes mellitus with vascular complications,日本語教育研究者である私の「虫のよさ」を問い直すナラティブの可能性,,割石法面直上に敷設する遮水シートの保護マット規格,序: 《特集》インフラを見る、インフラとして見る,序: 《特集》ハラールの現代――食に関する認証制度と実践から,安房地域の保健医療活動地域住民を対象とした総合検診と館山市小児肥満対策,,,,薬剤学第62巻総目次,,Examination of Glass Ampoule Characteristics Suitable for Minodronic Acid Solution,原子間力顕微鏡(AFM)による製剤特性の評価,ヒト肝トランスポーターの基礎研究から臨床医療への橋渡し～薬物速度論を生かして～,Carbon dots have antitumor action as monotherapy or combination therapy,,,,Standing magnetic resonance imaging of distal phalanx fractures in 6 cases of Thoroughbred racehorse,現代日本におけるMotherhood Penaltyの検証,2020年にむけた民泊としての空き家活用,韓国の大企業と中小企業間の賃金格差について,,WorldCALL 2018 参加報告,Determination of Barium Isotopic Ratios in River Water on the Multiple Collector Inductively Coupled Plasma Mass Spectrometer,Content,,四万十川上流の森林流域における2000 ～ 2015年の降水と渓流水の水質モニタリング,Endoscopic rescue of major anastomotic leakage
8,Preoperative albumin-bilirubin grade combined with aspartate aminotransferase-to-platelet count ratio index predict outcomes of patients with hepatocellular carcinoma within Milan criteria after liver resection,グリーン・ツーリズム運営農家,,ジオグリッドを用いた埋設管スラスト防護工法の形状寸法が付加抵抗力に与える影響について,インフラストラクチャー／バウンダリーオブジェクトにおける象徴的価値の問題,先輩が使っていれば、使うんだ,高齢化・生産人口減少社会の中での地域医療──大都市圏・首都圏近郊の病院において──,,,,薬剤学第62巻キーワード索引,,DNA Transfection Mediated by Synthetic Polycationic Peptides,ニュース,薬物の経皮吸収に及ぼすO-エチルシクロヘキサノール誘導体の促進効果,Acute mesenteric vein thrombosis after endoscopic injection sclerotherapy for esophageal varices in a patient with liver cirrhosis,,,,Methodological improvement of fluorescein isothiocyanate peanut agglutinin (FITC-PNA) acrosomal integrity staining for frozen-thawed Japanese Black bull spermatozoa,伝統産業の現代的変容,パーム油持続可能性認証に関する途上国の視点と調達コードの議論,新経済地理学の多地域モデルによる交通整備が人口の集中分散に与える影響に関する研究,,平成30年度文化庁日本語教育大会・京都大会,Polyphenol Analysis in Black Tea with a Carbon Nanotube Electrode,,,関東北部の落葉広葉樹二次林に設置した営巣トラップによって得られたハチ類とその天敵,New Directions in Interventional Endoscopic Ultrasound
9,Treatment modalities and relative survival in patients with brain metastasis from colorectal cancer,初中等教育機関日本語教師による教職アイデンティティ形成,,越流しない津波を対象とした水槽模型実験に基づく補強土壁の耐津波性能の検証,ラオス首都ヴィエンチャンの可視的なインフラと「擬似−近代」的なるもの,台湾ムスリムの食文化をめぐる交渉と創造,高齢化・生産人口減少社会の中での地域医療──地方中核都市の病院において──,,,,,,Phase Characteristics of Dispersed Particles Composed of Retinal and Dipalmitoylphosphatidylcholine,表面改質法を用いた速崩壊型錠剤の研究―含量均一性の評価―,網膜を標的としたドラッグデリバリー,Two different scenarios of advanced basal cell carcinomas during the use of vismodegib: Cases of oral administration and administration directly to the stomach,,,,Surgical repair of third-degree perineal lacerations with rectovestibular fistulae in dairy cattle: a series of four cases (2010–2018),はじめに,明日香壽川・朴勝俊『脱「原発・温暖化」の経済学』,持ち家資産を活用した高齢者世帯の経済的自立,,"The 15th Enhancement Conference, “Evaluation, Evidence and Enhancement: Inspiring Staff and Students” 参加報告",Simultaneous Colorimetric Measurements of Antioxidant Capacity by Flow Injection Analysis with Paired Emitter Detector Diode,,,,Gastric cancer early diagnosis and screening in Western
